NUSEOBJETO    NUSEQTIPOPATR    DEOBJETO                                                                                                                                                   
==========    =============    =======================================================================================================================================================    
1             1                APARADOR DE GRAMA AP1000T                                                                                                                                  
2             1                APARADOR DE GRAMA BEAVER LIGHT                                                                                                                             
3             1                APARADOR DE GRAMA TRAP 1000                                                                                                                                
4             1                APARADOR DE GRAMA TRAPP MASTER 1000 PLUS                                                                                                                   
5             2                ASPIRADOR DE PO A20L                                                                                                                                       
6             2                ASPIRADOR DE PO AEROPLUS                                                                                                                                   
7             2                ASPIRADOR DE PO APV 1240                                                                                                                                   
8             2                ASPIRADOR DE PO AS 35                                                                                                                                      
9             2                ASPIRADOR DE PO BL 25                                                                                                                                      
10            2                ASPIRADOR DE PO EQUIPT                                                                                                                                     
11            2                ASPIRADOR DE PO FLEX 1400                                                                                                                                  
12            2                ASPIRADOR DE PO GBP20                                                                                                                                      
13            2                ASPIRADOR DE PO GT PROFI 20                                                                                                                                
14            2                ASPIRADOR DE PO GT2000                                                                                                                                     
15            2                ASPIRADOR DE PO E AGUA ELETROLUX GT3000                                                                                                                    
16            2                ASPIRADOR DE PO GTW INOX 20                                                                                                                                
17            2                ASPIRADOR DE PO HIDRO LAV 2600W                                                                                                                            
18            2                ASPIRADOR DE PO HIDROLUX                                                                                                                                   
19            2                ASPIRADOR DE PO INDUSTRIAL                                                                                                                                 
20            2                ASPIRADOR DE PO IPX4 SILENT POWER                                                                                                                          
21            2                ASPIRADOR DE PO E AGUA LAVOR KRONOS 23                                                                                                                     
22            2                ASPIRADOR DE PO LAVAVET                                                                                                                                    
23            2                ASPIRADOR DE PO NT 585                                                                                                                                     
24            2                ASPIRADOR DE PO POWER DUO 1200W                                                                                                                            
25            2                ASPIRADOR DE PO PROFISSIONAL 20 L                                                                                                                          
26            2                ASPIRADOR DE PO TRIO                                                                                                                                       
27            2                ASPIRADOR DE PO TURBO INOX DUO                                                                                                                             
28            2                ASPIRADOR DE PO VAC 22                                                                                                                                     
29            3                BALDE ESPREMEDOR ESPREMEDOR DUO BETTANIN                                                                                                                   
30            3                BALDE ESPREMEDOR ESPREMEDOR DUO BRALIMPIA                                                                                                                  
31            4                CARRINHO DE MÃO PADRÃO                                                                                                                                     
32            5                CARRO FUNCIONAL BRALIMPIA                                                                                                                                  
33            5                CARRO FUNCIONAL PERFECT TOOLS                                                                                                                              
34            6                CONTENTOR DE LIXO 1000 LITROS                                                                                                                              
35            6                CONTENTOR DE LIXO 1500 LITROS                                                                                                                              
36            7                CORTADOR DE GRAMA A GASOLINA LF-600RM                                                                                                                      
37            7                CORTADOR DE GRAMA A GASOLINA SL 350                                                                                                                        
38            7                CORTADOR DE GRAMA A GASOLINA CE35 M                                                                                                                        
39            8                ENCERADEIRA DEEP CLEAN 300                                                                                                                                 
1181          8                ENCERADEIRA DEEP CLEAN 350 BIVOLT                                                                                                                          
41            8                ENCERADEIRA DEEP CLEAN 400                                                                                                                                 
42            8                ENCERADEIRA CLEANER 300                                                                                                                                    
43            8                ENCERADEIRA CLEANER 350                                                                                                                                    
44            8                ENCERADEIRA CLEANER 400                                                                                                                                    
45            8                ENCERADEIRA CLEANER 1500                                                                                                                                   
46            8                ENCERADEIRA MINUTE MAN                                                                                                                                     
47            8                ENCERADEIRA R3                                                                                                                                             
48            8                ENCERADEIRA SCHUELER 350                                                                                                                                   
49            9                ESCADA 3 DEGRAUS                                                                                                                                           
50            9                ESCADA DE ALUMINIO 5 DEGRAUS                                                                                                                               
51            9                ESCADA DE ALUMINIO 6 DEGRAUS                                                                                                                               
52            9                ESCADA DE ALUMINIO 7 DEGRAUS                                                                                                                               
53            9                ESCADA 9 DEGRAUS                                                                                                                                           
54            9                ESCADA 10 DEGRAUS                                                                                                                                          
55            9                ESCADA 11 DEGRAUS EXTENSIVA                                                                                                                                
56            9                ESCADA EXTENSIVA ARTICULADA                                                                                                                                
57            10               FURADEIRA BOSCH GSB 13 RE                                                                                                                                  
58            11               LAVADORA DE ALTA PRESSÃO KARCHER HD 585                                                                                                                    
59            11               LAVADORA DE ALTA PRESSÃO ELECTRA 1600W EAS                                                                                                                 
60            11               LAVADORA DE ALTA PRESSÃO K1                                                                                                                                
61            11               LAVADORA DE ALTA PRESSÃO LV1900                                                                                                                            
62            11               LAVADORA DE ALTA PRESSÃO MAXX 1600                                                                                                                         
63            11               LAVADORA DE ALTA PRESSÃO NEW MAX T80                                                                                                                       
64            11               LAVADORA DE ALTA PRESSÃO PW1400                                                                                                                            
65            11               LAVADORA DE ALTA PRESSÃO RE 109                                                                                                                            
66            11               LAVADORA DE ALTA PRESSÃO RE 98                                                                                                                             
67            12               MÁQUINA A VAPOR LAVOR                                                                                                                                      
68            13               VARREDORA DE CARPETE KM 70 KARCHER                                                                                                                         
69            15               MICROONDAS MIDEA 21 LITROS 127V                                                                                                                            
70            14               PARAFUSADEIRA 20V                                                                                                                                          
71            14               PARAFUSADEIRA BOSCH ALTO IMPACTO                                                                                                                           
72            14               PARAFUSADEIRA BOSCH GSR 1000                                                                                                                               
73            17               ROÇADEIRA A GASOLINA VULCAN TRENT VR430S                                                                                                                   
867           17               ROÇADEIRA LATERAL A GASOLINA 2T VULCAN 52CC VR520HB                                                                                                        
75            17               ROÇADEIRA FS 120 STIHL                                                                                                                                     
76            17               ROÇADEIRA 63CC 2 TEMPOS                                                                                                                                    
77            17               ROÇADEIRA HUSQVARNA                                                                                                                                        
78            17               ROÇADEIRA VULCAN TRENT                                                                                                                                     
79            17               ROÇADEIRA RI260 ACN                                                                                                                                        
80            17               ROÇADEIRA STIHL FS-120 3 FACAS                                                                                                                             
81            17               ROÇADEIRA FS 160 STIHL                                                                                                                                     
82            17               ROÇADEIRA FS 190 STIHL                                                                                                                                     
83            17               ROÇADEIRA TOYAMA TBC52X PREMIUM                                                                                                                            
84            17               ROÇADEIRA DT-52 CC                                                                                                                                         
85            18               SOPRADOR DE FOLHAS GARTHEN GSF 260                                                                                                                         
86            18               SOPRADOR DE FOLHAS A GASOLINA 26CC 2T 0,9HP                                                                                                                
87            19               TESOURÃO PODA PADRÃO                                                                                                                                       
341           20               CADEIRA DE ESCRITORIO AZUL                                                                                                                                 
89            21               MONITOR 19 POLEGADAS                                                                                                                                       
90            21               MONITOR 24 POLEGADAS                                                                                                                                       
91            21               MONITOR 26 POLEGADAS                                                                                                                                       
92            21               MONITOR 29 POLEGADAS                                                                                                                                       
93            22               AR CONDICIONADO 9000 BTUS                                                                                                                                  
94            22               AR CONDICIONADO 12000 BTUS                                                                                                                                 
95            22               AR CONDICIONADO 18000 BTUS                                                                                                                                 
96            22               AR CONDICIONADO 24000 BTUS                                                                                                                                 
97            21               MONITOR PHILIPS 18.5" LED HD HDMI/VGA                                                                                                                      
98            23               NOTEBOOK LENOVO IDEAPAD 3I I5 8GB 256GB W11                                                                                                                
99            24               ARQUIVO DE AÇO 1,33X0,46X0,60                                                                                                                              
100           2                ASPIRADOR DE PO ACQUA POWER ELECTROLUX AQP20                                                                                                               
101           2                ASPIRADOR KÄRCHER NT 2000 20L CINZA 127V                                                                                                                   
102           15               MICROONDAS ELECTROLUX MTD30                                                                                                                                
103           2                ASPIRADOR DE PO E AGUA WAP GTW BAGLESS 1400W AZUL E PRETO                                                                                                  
104           25               SERRA CIRCULAR PROFISSIONAL 185MM 7-1/4 POL. 1400W                                                                                                         
105           26               RELÓGIO PONTO BIOMÉTRICO CONTROL ID CLASS                                                                                                                  
106           17               ROÇADEIRA A GASOLINA VULCAN TRENT VR620H                                                                                                                   
107           27               COMPUTADOR SKILL PRO INTEL 12ª GERAÇÃO CORE I5 - ANDRE DESENVOLVIMENTO                                                                                     
108           21               MONITOR LED WIDESCREEN 15.4" BRAZILPC 15BPC-KAN HDMI - BRAZIL PC                                                                                           
109           28               SUPORTE PARA SABONETE ESPUMA                                                                                                                               
110           1                APARADOR DE GRAMA TRAMONTINA AP1500T                                                                                                                       
111           18               SOPRADOR À GASOLINA 63CC EVALD                                                                                                                             
112           15               MICROONDAS NN-ST25LWRU 700W BRANCO PANASONIC 127V                                                                                                          
113           2                ASPIRADOR DE PO E AGUA COMPACTO 1400W 10 LITROS GTW 10 WAP AMARELO 110V                                                                                    
114           2                ASPIRADOR DE PO E AGUA WAP GTW 10                                                                                                                          
115           11               LAVADORA DE ALTA PRESSÃO                                                                                                                                   
116           11               LAVADORA DE ALTA PRESSÃO 1300 LIBRAS LAV1300                                                                                                               
117           23               NOTEBOOK IDEAPAD 1I (14" INTEL) I5-1235U WINDOWS 11 HOME                                                                                                   
118           17               ROÇADEIRA A GASOLINA KNAKASAKI ST-630                                                                                                                      
1114          11               LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 220V                                                                                               
120           11               LAVADORA DE ALTA PRESSÃO VONDER LEVE LAV 1200                                                                                                              
232           11               LAVADORA DE ALTA PRESSÃO KÄRCHER PROFESSIONAL HD 6/15 CAGE PLUS                                                                                            
122           2                ASPIRADOR DE PO E AGUA ELECTROLUX 1400W + ACQUA POWER AQP20                                                                                                
123           2                ASPIRADOR DE PO E AGUA 14L 1250W 220V POWER DUO NEW LAVOR                                                                                                  
124           2                ASPIRADOR DE PO 220V                                                                                                                                       
125           8                ENCERADEIRA INDUSTR.  220 V                                                                                                                                
126           8                ENCERADEIRA                                                                                                                                                
127           9                ESCADA 8 DEGRAUS                                                                                                                                           
128           17               ROÇADEIRA A GASOLINA GARTHEN CG-450 42,7CC                                                                                                                 
129           2                ASPIRADOR DE PO HIDROLUX AWD01 5L PRETO E AZUL ELECTROLUX 110V                                                                                             
130           2                ASPIRADOR DE PO E AGUA WAP GTW 10 COMPACTO 1400W 10 LITROS 220V                                                                                            
131           14               PARAFUSADEIRA 13MM FATMAX STANLEY, MODELO SCD711C2K, SEM FIO COM MALETA DE FERRAMENTAS                                                                     
132           29               CLIMATIZADOR DE PAREDE 60 CM - ATENAS 110V                                                                                                                 
133           22               AR CONDICIONADO SPLIT HI WALL SPRINGER MIDEA AIRVOLUTION 18.000 BTU/H                                                                                      
134           15               MICROONDAS 20L BRANCO PORTA PRETA MINUTO FÁCIL MIDEA 110V                                                                                                  
135           23               NOTEBOOK GAMER ACER NITRO 5 INTEL CORE I7-11800H, 16GB RAM, NVIDIA RTX3050, SSD 512GB, 15.6" LED FHD IPS, LINUX, PRETO - AN515-57-7                        
136           23               NOTEBOOK IDEAPAD GAMING 3I I7 16GB 512GB SSD GTX 1650                                                                                                      
137           30               BALANÇA DIGITAL SMART BLACK BL-05 150KG PRETA MONDIAL BIVOLT COR PRETO                                                                                     
138           31               GELADEIRA FRIGOBAR GALLANT GFB07C01A BRANCA 70L 220V                                                                                                       
139           22               AR CONDICIONADO SPLIT GREE SPLIT 12.000 BTUS FRIO - G-TOP PLUS GWC12AAC-D3NNA1D                                                                            
140           2                ASPIRADOR DE PO                                                                                                                                            
141           2                ASPIRADOR DE PO 110V                                                                                                                                       
142           8                ENCERADEIRA INDUSTR. 110V                                                                                                                                  
143           11               LAVADORA DE ALTA PRESSÃO 110V                                                                                                                              
144           11               LAVADORA DE ALTA PRESSÃO 220V                                                                                                                              
145           17               ROÇADEIRA                                                                                                                                                  
146           32               CORTADOR DE GRAMA MAKITA ELM3320                                                                                                                           
147           2                ASPIRADOR DE PO E AGUA VONDER INDUSTRIAL                                                                                                                   
148           2                ASPIRADOR DE PO E AGUA 20L 1400W WORKER                                                                                                                    
149           33               TELEVISÃO SMART ROKU 50" PHILCO                                                                                                                            
151           27               CPU                                                                                                                                                        
152           21               MONITOR                                                                                                                                                    
153           22               AR CONDICIONADO ELGIN QUENTE E FRIO 24000 BTUS                                                                                                             
154           36               RELOGIO PONTO                                                                                                                                              
155           37               ROTEADOR ELSYS AMPLIMAX FIT 4G, EPRL18 BRANCO                                                                                                              
156           14               PARAFUSADEIRA BRITÂNIA 4,8V COM 11 BITS E PROLONGADOR BPF01                                                                                                
157           15               MICROONDAS BRANCO 20 LITROS 127V                                                                                                                           
158           8                ENCERADEIRA DC 350 ECO COMPLETA - BIVOLT                                                                                                                   
159           21               MONITOR LG  LED 19,5 HD                                                                                                                                    
160           22               AR CONDICIONADO SPLIT HI WALL BRITÂNIA 9000 BTU/H FRIO BAC9000TFM12 220 VOLTS                                                                              
161           22               AR CONDICIONADO SPLIT HI WALL INVERTER PHILCO ECO 9000BTUS                                                                                                 
162           27               COMPUTADOR FÁCIL INTEL CORE I5 10400F (DÉCIMA GERAÇÃO) 8GB DDR4 GEFORCE NVIDIA 1GB SSD 240GB                                                               
163           37               ROTEADOR AMPLIMAX FIT 4G ELSYS MODEM INTERNET                                                                                                              
164           38               MARTELETE ROMPEDOR                                                                                                                                         
165           9                ESCADA 6 METROS                                                                                                                                            
166           22               AR CONDICIONADO PISO TETO 60.000 FR 220V INVERTER ELGIN - VERTICAL                                                                                         
176           39               ESTANTE DE AÇO 6 PRATELEIRAS                                                                                                                               
168           17               ROCADEIRA GAS. 143RII 2,01CV/41,5CC                                                                                                                        
169           1                APARADOR GRAMA TRAMONT.79634 AP1000T 110V                                                                                                                  
170           22               AR CONDICIONADO                                                                                                                                            
171           40               MOTOPODADOR DE GALHOS 33CC 2T 1,3HP COM EXTENSOR VP3300L VULCAN                                                                                            
172           10                FURADEIRA DE IMPACTO BLACK*DECKER                                                                                                                         
173           23               NOTEBOOK ACER                                                                                                                                              
174           15               MICROONDAS                                                                                                                                                 
175           37               ROTEADOR WIFI                                                                                                                                              
177           41               MAQUINA DE LAVAR                                                                                                                                           
178           9                ESCADA DE FIBRA DE VIDRO 8 DEGRAUS 2,40 M MODELO AMERICANA DUPLA                                                                                           
179           14               PARAFUSADEIRA DE IMPACTO 1/2" A BATERIA 20V COM MALETA V20                                                                                                 
180           43               LIXADEIRA ANGULAR 7 1400W                                                                                                                                  
181           44               PARAFUSADEIRA/FURADEIRA DE IMPACTO A BATERIA 20V 1/2 POL.                                                                                                  
182           38               MARTELETE BOSCH PROFESSIONAL                                                                                                                               
183           9                ESCADA DE FIBRA DE VIDRO 19 DEGRAUS EXTENSÍVEL 6,0 M SÍNTESE                                                                                               
184           3                BALDE C/ESPREM.DOBLO-AM-BRALIMPIA                                                                                                                          
185           27               MINI DELL                                                                                                                                                  
186           45               TRANSFORMADOR                                                                                                                                              
187           35               ARMARIO DE AÇO COM 20 GAVETAS 4X5 CINZA ESCURO                                                                                                             
