NUSEQLOCALPROJ    CDLOCAL    DELOCAL                                                                                                                                                                                                      CDFANTASIA    FLATIVO    
==============    =======    =========================================================================================================================================================================================================    ==========    =======    
1                 1          PLANSUL  MATRIZ                                                                                                                                                                                              8             1          
2                 121        AGRONÔMICA                                                                                                                                                                                                   487           <null>     
3                 101        ANITA GARIBALDI                                                                                                                                                                                              487           <null>     
4                 133        SÃO JOÃO BATISTA                                                                                                                                                                                             487           <null>     
5                 105        CEL. AMERICO                                                                                                                                                                                                 487           <null>     
6                 116        UNIVERSITÁRIA                                                                                                                                                                                                487           <null>     
7                 103        BIGUAÇU                                                                                                                                                                                                      487           <null>     
8                 110        MIRAMAR                                                                                                                                                                                                      487           <null>     
9                 125        TIJUCAS                                                                                                                                                                                                      487           <null>     
10                134        CAMPECHE                                                                                                                                                                                                     487           <null>     
11                131        CAMBIRELA                                                                                                                                                                                                    487           <null>     
12                115        TERRA FIRME                                                                                                                                                                                                  487           <null>     
13                101        LIMPEZA                                                                                                                                                                                                      530           <null>     
14                108        KOBRASOL                                                                                                                                                                                                     487           <null>     
15                123        MÓVEL                                                                                                                                                                                                        487           <null>     
16                801        MF  LAGES                                                                                                                                                                                                    463           <null>     
17                101        SESAI 1 - ARAQUARI                                                                                                                                                                                           456           <null>     
18                101        SESAI 3 - JOSE BOITEUX                                                                                                                                                                                       458           <null>     
19                101        SESAI 2 - CHAPECÓ                                                                                                                                                                                            457           <null>     
20                502        CRICIUMA - SR SUL                                                                                                                                                                                            487           <null>     
21                510        SOMBRIO                                                                                                                                                                                                      487           <null>     
22                503        CRICIUMA - AG OURO NEGRO                                                                                                                                                                                     487           <null>     
23                517        LAGES - AG CORAL                                                                                                                                                                                             487           <null>     
24                303        JOINVILLE                                                                                                                                                                                                    487           <null>     
25                302        PIRABEIRABA                                                                                                                                                                                                  487           <null>     
26                311        CANOINHAS                                                                                                                                                                                                    487           <null>     
27                516        LAGES                                                                                                                                                                                                        487           <null>     
28                311        ERVAL VELHO                                                                                                                                                                                                  492           <null>     
29                307        MAFRA                                                                                                                                                                                                        487           <null>     
30                8          ARARANGUA                                                                                                                                                                                                    492           <null>     
31                113        BRAÇO DO NORTE                                                                                                                                                                                               492           <null>     
32                120        PEDRAS GRANDES                                                                                                                                                                                               492           <null>     
33                3          RIO FORTUNA                                                                                                                                                                                                  492           <null>     
34                24         PERITIBA                                                                                                                                                                                                     492           <null>     
35                115        SÃO JOÃO DO SUL                                                                                                                                                                                              492           <null>     
36                5          GRÃO PARA                                                                                                                                                                                                    492           <null>     
37                108        TIMBÉ DO SUL                                                                                                                                                                                                 492           <null>     
38                202        RIO MAINA                                                                                                                                                                                                    492           <null>     
39                10         SÃO MARTINHO                                                                                                                                                                                                 492           <null>     
40                11         TUBARÃO                                                                                                                                                                                                      487           <null>     
41                102        SANTA ROSA DO SUL                                                                                                                                                                                            492           <null>     
42                42         VIDEIRA                                                                                                                                                                                                      492           <null>     
43                44         CAÇADOR                                                                                                                                                                                                      492           <null>     
44                7          SIDEROPOLIS                                                                                                                                                                                                  492           <null>     
45                55         JOAÇABA                                                                                                                                                                                                      492           <null>     
46                32         IBICARE                                                                                                                                                                                                      492           <null>     
47                54         TIMBO GRANDE                                                                                                                                                                                                 492           <null>     
48                11         TUBARÃO                                                                                                                                                                                                      492           <null>     
49                1          HU                                                                                                                                                                                                           445           <null>     
50                2          MF CRICIUMA                                                                                                                                                                                                  463           <null>     
51                18         IÇARA                                                                                                                                                                                                        492           <null>     
52                201        LAGES                                                                                                                                                                                                        492           <null>     
53                12         MARACAJÁ                                                                                                                                                                                                     492           <null>     
54                119        LAGUNA                                                                                                                                                                                                       492           <null>     
55                39         OURO                                                                                                                                                                                                         492           <null>     
56                7          SIDERÓPOLIS                                                                                                                                                                                                  492           <null>     
57                6          IMARUI                                                                                                                                                                                                       492           <null>     
58                116        SANTA ROSA DE LIMA                                                                                                                                                                                           492           <null>     
59                71         MF CHAPECÓ                                                                                                                                                                                                   463           <null>     
60                321        IBICARE                                                                                                                                                                                                      492           <null>     
61                54         TIMBÓ GRANDE                                                                                                                                                                                                 492           <null>     
62                201        CENTENÁRIO                                                                                                                                                                                                   492           <null>     
63                501        CRICIUMA                                                                                                                                                                                                     487           <null>     
64                421        AG VIDEIRA                                                                                                                                                                                                   492           <null>     
65                538        AG GAROPABA                                                                                                                                                                                                  487           <null>     
66                1          FLORIANÓPOLIS                                                                                                                                                                                                463           <null>     
67                4          BLUMENAU                                                                                                                                                                                                     463           <null>     
68                11         FLORIANOPOLIS                                                                                                                                                                                                85            <null>     
69                5011       PR FPOLIS                                                                                                                                                                                                    501           <null>     
70                530        ESCRITORIO SC                                                                                                                                                                                                8             <null>     
71                1          FILIAL                                                                                                                                                                                                       197           <null>     
72                1          FILIAL                                                                                                                                                                                                       195           <null>     
73                1          FILIAL                                                                                                                                                                                                       198           <null>     
74                1          FILIAL                                                                                                                                                                                                       407           <null>     
75                1          FILIAL                                                                                                                                                                                                       199           <null>     
76                1          FILIAL                                                                                                                                                                                                       530           <null>     
77                1          FILIAL                                                                                                                                                                                                       196           <null>     
78                1          FILIAL                                                                                                                                                                                                       545           <null>     
79                1          FILIAL                                                                                                                                                                                                       194           <null>     
81                1          FILIAL                                                                                                                                                                                                       552           <null>     
82                1          ESCRITORIO SC                                                                                                                                                                                                137           <null>     
83                1          ESCRITORIO                                                                                                                                                                                                   413           <null>     
84                50         VALE DO ITAJAI                                                                                                                                                                                               487           <null>     
85                1          VALE ITAJAI                                                                                                                                                                                                  577           <null>     
88                2          OESTE                                                                                                                                                                                                        577           <null>     
89                3          NORTE                                                                                                                                                                                                        577           <null>     
90                301        JARAGUA DO SUL - EQUIPE MÓVEL                                                                                                                                                                                487           <null>     
91                504        PR - SC - SÃO MIGUEL D OESTE                                                                                                                                                                                 501           <null>     
92                51         CORUPÁ                                                                                                                                                                                                       487           <null>     
93                3          MOVEL OESTE                                                                                                                                                                                                  487           <null>     
94                3          JOINVILLE                                                                                                                                                                                                    463           <null>     
95                1          LESTE                                                                                                                                                                                                        487           <null>     
96                2          VALE DO ITAJAI                                                                                                                                                                                               487           <null>     
97                3          NORTE                                                                                                                                                                                                        487           <null>     
98                4          OESTE                                                                                                                                                                                                        487           <null>     
99                5          SUL                                                                                                                                                                                                          487           <null>     
100               9          JOACABA                                                                                                                                                                                                      463           <null>     
101               6          ITAJAI                                                                                                                                                                                                       463           <null>     
102               1          FLORIANÓPOLIS                                                                                                                                                                                                613           <null>     
