NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
5	456	APARELHO TELEFÔNICO	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
6	1	ESCRIVANINHA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
7	2	POLTRONA VICE PRESIDENTE	8	530	NULL	133838	EM USO	2011-12-11	NULL	BEA.SC	2025-12-03
9	4	APARELHO TELEFÔNICO	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
10	5	ESCRIVANINHA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
11	6	POLTRONA PRESIDENTE	8	530	NULL	133838	EM USO	2011-12-11	NULL	BEA.SC	2025-12-03
12	7	CADEIRA DE ESCRITORIO CINZA (GIRATORIA)	8	530	476	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
13	8	ESCRIVANINHA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
14	9	ARMARIO ALTO 2  PORTAS	8	2035	250	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-11
15	10	CADEIRA SECRETÁRIA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
16	11	CONDICIONADOR DE AR	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
17	12	CADEIRA SECRETÁRIA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
18	14	ESCADA	8	530	NULL	133838	EM USO	2011-12-11	NULL	BEA.SC	2025-12-03
19	15	REFRIGERADOR	8	530	NULL	133838	EM USO	2011-12-11	NULL	BEA.SC	2025-12-03
20	16	CADEIRA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
21	17	CADEIRA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
22	18	CADEIRA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
23	19	FOGÃO	8	530	NULL	133838	EM USO	2011-12-11	NULL	BEA.SC	2025-12-03
24	20	MONITOR DE VIDEO	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-11
25	21	ESTABILIZADOR DE VOLTAGEM	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
26	22	MESA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-10
27	23	CADEIRA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
28	24	CADEIRA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
29	25	CADEIRA SECRETÁRIA	8	530	NULL	133838	BAIXA	2011-12-11	NULL	BEA.SC	2025-12-15
