CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
==========    =============================================================    ========    ======    
281           BRADESCO-RS                                                      1           RS        
2             CASAN                                                            1           SC        
47            CASAN/CAD                                                        1           SC        
284           CEASA-RS                                                         1           RS        
24            CEEE-RS                                                          1           RS        
12            CEF - AC                                                         1           AC        
4             CEF - CE                                                         1           CE        
10            CEF - RR                                                         1           RR        
201           CEF - RS                                                         1           RS        
1             CEF - RS                                                         1           RS        
16            CEF - SC                                                         1           SC        
56            CEF/02-RS                                                        1           RS        
55            CEF/HD-BA                                                        1           BA        
70            xx.CEF/LIMP-RS                                                   1           RS        
270           xCEF/LIMP-RS                                                     1           RS        
69            CEF/OP-RS                                                        1           RS        
26            CEF/SC-OESTE                                                     1           SC        
83            CEF/TELE-BA                                                      1           BA        
49            CEF/TELE-BA                                                      1           BA        
51            CEF/TELE-CE                                                      1           CE        
105           CEF/TELE-MG                                                      1           MG        
46            CEF/TELE-MG                                                      1           MG        
63            CEF/TELE-RN                                                      1           RN        
39            CEF/TELE-RS                                                      1           RS        
48            CEF/VARGINHA-MG                                                  1           MG        
53            CEF-AM                                                           1           AM        
127           CEF-AM                                                           1           AM        
9             CEFAM-DT                                                         1           AM        
45            CEFAM-OP                                                         1           AM        
18            CEFAM-OP                                                         1           AM        
73            CEF-BA                                                           1           BA        
118           CEF-CE                                                           1           CE        
128           CEF-ES                                                           1           ES        
14            CEF-GO                                                           1           GO        
50            CEF-MG                                                           1           MG        
15            CEF-MG                                                           1           MG        
34            CEF-RJ                                                           1           RJ        
11            CEFRO-DT                                                         1           RO        
17            CEFRO-OP                                                         1           PR        
122           CEF-SC                                                           1           SC        
20            CEF-SE                                                           1           SE        
116           CEF-SP                                                           1           SP        
117           CEF-SP 2                                                         1           SP        
129           CEF-SP 3                                                         1           SP        
104           CELESC                                                           1           SC        
103           CIDASC                                                           1           SC        
85            COHAB-SC                                                         1           SC        
107           COND. TOP TOWER                                                  1           SC        
3             DATAPREV - BA                                                    1           BA        
5             DATAPREV - CE                                                    1           CE        
7             DATAPREV - MT                                                    1           MT        
30            DATAPREV/GO                                                      1           GO        
21            DATAPREV/LOC-RS                                                  1           RS        
6             DATAPREV/SER-RS                                                  1           RS        
23            DATAPREV-AM                                                      1           AM        
66            DEINFRA-SC                                                       1           SC        
282           DETRAN-RS 1                                                      1           RS        
283           DETRAN-RS 2                                                      1           RS        
124           EBCT-1                                                           1           SC        
125           EBCT-2                                                           1           SC        
100           EBCT-SC                                                          1           SC        
38            ELETRONORTE                                                      1           DF        
119           ELETROSUL                                                        1           SC        
102           FCEE-SC                                                          1           SC        
200           FILIAL-RS                                                        1           RS        
86            FUNASA-SC                                                        1           SC        
120           FURNAS 2                                                         1           RJ        
106           FURNAS-RJ                                                        1           RJ        
998           FURNAS-RJ PROV                                                   1           SC        
999           FURNAS-RJ2 PROV                                                  1           RJ        
65            GRUPO UNIDOS                                                     1           SC        
27            IBGE/AM                                                          1           AM        
28            IBGE/RS                                                          1           RS        
89            IBGE-PR                                                          1           PR        
789           IBGE-PR                                                          1           PR        
22            IBGE-RS                                                          1           RS        
72            IBGE-SC                                                          1           SC        
54            IBGE-SC                                                          1           SC        
31            IBGE-SC                                                          1           SC        
111           IBGE-SC                                                          1           SC        
95            INC-DF                                                           1           DF        
57            INCRA-SC                                                         1           SC        
286           INPI-RS                                                          1           RS        
13            INSS - RS                                                        1           RS        
41            INSS-AM                                                          1           AM        
52            xINSS-SC                                                         1           SC        
123           IPHAN-SC                                                         1           SC        
121           JF-SE                                                            1           SE        
