NUPATRIM    NUPROJ    DTMOVI      FLMOV    USUARIO                            DTOPERACAO    
========    ======    ========    =====    ===============================    ==========    
25816       999915    25/07/2025    I        TIAGOP                             25/07/2025    
25926       999915    25/07/2025    I        TIAGOP                             25/07/2025    
25948       999915    25/07/2025    I        TIAGOP                             25/07/2025    
32953       999915    25/07/2025    I        TIAGOP                             25/07/2025    
19370       999915    25/07/2025    I        TIAGOP                             25/07/2025    
25289       999915    25/07/2025    I        TIAGOP                             25/07/2025    
25340       999915    25/07/2025    I        TIAGOP                             25/07/2025    
25289       999915    25/07/2025    I        TIAGOP                             25/07/2025    
30164       846       25/07/2025    I        RYAN                               25/07/2025    
31360       379       25/07/2025    I        RYAN                               25/07/2025    
0           648       25/07/2025    I        RYAN                               25/07/2025    
29388       197       25/07/2025    I        RYAN                               25/07/2025    
32141       882       25/07/2025    I        RYAN                               25/07/2025    
36174       8         25/07/2025    I        RYAN                               25/07/2025    
0           773       25/07/2025    I        RYAN                               25/07/2025    
0           889       25/07/2025    I        RYAN                               25/07/2025    
28093       773       25/07/2025    I        RYAN                               25/07/2025    
36134       197       28/07/2025    I        RYAN                               28/07/2025    
32247       999915    28/07/2025    I        TIAGOP                             28/07/2025    
10218       999915    28/07/2025    I        TIAGOP                             28/07/2025    
10218       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32374       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32373       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32375       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32376       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32377       999915    28/07/2025    I        TIAGOP                             28/07/2025    
10276       999915    28/07/2025    I        TIAGOP                             28/07/2025    
10244       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17616       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17612       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17613       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17614       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17617       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17634       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17635       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17636       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17636       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17637       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17636       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17640       999915    28/07/2025    I        TIAGOP                             28/07/2025    
17641       999915    28/07/2025    I        TIAGOP                             28/07/2025    
32396       999915    28/07/2025    I        TIAGOP                             28/07/2025    
37003       888       28/07/2025    I        RYAN                               28/07/2025    
17623       999915    29/07/2025    I        TIAGOP                             29/07/2025    
32246       999915    29/07/2025    I        TIAGOP                             29/07/2025    
13918       917       29/07/2025    I        ANDRE                              29/07/2025    
13918       882       29/07/2025    I        ANDRE                              29/07/2025    
17746       999915    29/07/2025    I        TIAGOP                             29/07/2025    
25809       999915    29/07/2025    I        TIAGOP                             29/07/2025    
36179       8         29/07/2025    I        BEATRIZ.SC                         29/07/2025    
36180       8         29/07/2025    I        BEATRIZ.SC                         29/07/2025    
36181       8         29/07/2025    I        BEATRIZ.SC                         29/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
0           379       30/07/2025    I        BEATRIZ.SC                         30/07/2025    
36199       917       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
8633        379       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
29995       545       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
29989       545       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
33062       379       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
0           917       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
36200       917       31/07/2025    I        BEATRIZ.SC                         31/07/2025    
10344       736       04/08/2025    I        BEA.SC                             04/08/2025    
10326       878       04/08/2025    I        BEA.SC                             04/08/2025    
32372       379       04/08/2025    I        BEA.SC                             04/08/2025    
32372       379       04/08/2025    I        BEA.SC                             04/08/2025    
32371       878       04/08/2025    I        BEA.SC                             04/08/2025    
30056       878       04/08/2025    I        BEA.SC                             04/08/2025    
13993       878       04/08/2025    I        BEA.SC                             04/08/2025    
32294       797       04/08/2025    I        BEA.SC                             04/08/2025    
19558       878       04/08/2025    I        BEA.SC                             04/08/2025    
19558       878       04/08/2025    I        BEA.SC                             04/08/2025    
333         379       04/08/2025    I        BEA.SC                             04/08/2025    
17459       878       04/08/2025    I        BEA.SC                             04/08/2025    
13931       878       04/08/2025    I        BEA.SC                             04/08/2025    
1560        379       04/08/2025    I        BEA.SC                             04/08/2025    
30055       736       04/08/2025    I        BEA.SC                             04/08/2025    
36507       736       04/08/2025    I        BEA.SC                             04/08/2025    
31672       813       04/08/2025    I        BEA.SC                             04/08/2025    
32026       878       04/08/2025    I        BEA.SC                             04/08/2025    
19454       841       04/08/2025    I        BEA.SC                             04/08/2025    
31852       841       04/08/2025    I        BEA.SC                             04/08/2025    
19291       877       04/08/2025    I        BEA.SC                             04/08/2025    
19292       877       04/08/2025    I        BEA.SC                             04/08/2025    
19293       877       04/08/2025    I        BEA.SC                             04/08/2025    
19294       877       04/08/2025    I        BEA.SC                             04/08/2025    
19295       877       04/08/2025    I        BEA.SC                             04/08/2025    
19296       877       04/08/2025    I        BEA.SC                             04/08/2025    
19297       877       04/08/2025    I        BEA.SC                             04/08/2025    
19298       877       04/08/2025    I        BEA.SC                             04/08/2025    
36192       407       04/08/2025    I        BEA.SC                             04/08/2025    
7649        407       04/08/2025    I        BEA.SC                             04/08/2025    
22404       750       05/08/2025    I        BEA.SC                             05/08/2025    
29158       197       05/08/2025    I        BEA.SC                             05/08/2025    
29158       197       05/08/2025    I        BEA.SC                             05/08/2025    
36066       888       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
13996       888       05/08/2025    I        BEA.SC                             05/08/2025    
13970       773       05/08/2025    I        BEA.SC                             05/08/2025    
13970       773       05/08/2025    I        BEA.SC                             05/08/2025    
19562       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13989       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13989       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13985       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13987       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13915       999915    08/08/2025    I        TIAGOP                             08/08/2025    
13915       999915    08/08/2025    I        TIAGOP                             08/08/2025    
13932       999915    08/08/2025    I        TIAGOP                             08/08/2025    
8634        999915    08/08/2025    I        TIAGOP                             08/08/2025    
