NUPATR	CODPROJ	DTMOVI	TIPO	USUARIO	DTOPERACAO
==========================================================================================
3	100001	2025-12-03 00:00:00	INCLUSAO	BEA.SC	2025-12-03 00:00:00
7	8	2025-11-14 00:00:00	INCLUSAO	BEA.SC	2025-11-14 00:00:00
7	8	2025-11-14 00:00:00	INCLUSAO	BEA.SC	2025-11-14 00:00:00
9	8	2025-10-16 00:00:00	INCLUSAO	BEA.SC	2025-10-16 00:00:00
38	100001	2025-12-02 00:00:00	INCLUSAO	BRUNO	2025-12-02 00:00:00
38	100001	2025-12-02 00:00:00	INCLUSAO	BRUNO	2025-12-02 00:00:00
45	100001	2025-12-02 00:00:00	INCLUSAO	BRUNO	2025-12-02 00:00:00
45	100001	2025-12-02 00:00:00	INCLUSAO	BRUNO	2025-12-02 00:00:00
47	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
47	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
94	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
94	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
108	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
214	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
214	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
224	999915	2025-09-29 00:00:00	INCLUSAO	TIAGOP	2025-09-29 00:00:00
266	999915	2025-09-29 00:00:00	INCLUSAO	TIAGOP	2025-09-29 00:00:00
273	999915	2025-10-01 00:00:00	INCLUSAO	TIAGOP	2025-10-01 00:00:00
273	736	2025-10-01 00:00:00	INCLUSAO	BEA.SC	2025-10-01 00:00:00
274	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
276	8	2025-12-02 00:00:00	INCLUSAO	TIAGOP	2025-12-02 00:00:00
277	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
279	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
279	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
280	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
281	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
283	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
283	8	2025-11-13 00:00:00	INCLUSAO	BEA.SC	2025-11-13 00:00:00
284	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
284	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
288	100001	2025-12-03 00:00:00	INCLUSAO	BEA.SC	2025-12-03 00:00:00
297	100001	2025-12-03 00:00:00	INCLUSAO	BEA.SC	2025-12-03 00:00:00
297	100001	2025-12-03 00:00:00	INCLUSAO	BEA.SC	2025-12-03 00:00:00
315	8	2025-10-16 00:00:00	INCLUSAO	BEA.SC	2025-10-16 00:00:00
333	379	2025-08-04 00:00:00	INCLUSAO	BEA.SC	2025-08-04 00:00:00
334	999915	2025-10-14 00:00:00	INCLUSAO	TIAGOP	2025-10-14 00:00:00
337	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
337	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
340	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
341	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
342	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
344	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
369	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
374	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
376	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
383	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
384	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
385	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
391	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
392	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
393	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
393	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
394	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
395	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
396	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
397	8	2025-10-21 00:00:00	INCLUSAO	BEA.SC	2025-10-21 00:00:00
406	999915	2025-08-28 00:00:00	INCLUSAO	TIAGOP	2025-08-28 00:00:00
406	999915	2025-11-12 00:00:00	INCLUSAO	TIAGOP	2025-11-12 00:00:00
443	999915	2025-09-18 00:00:00	INCLUSAO	TIAGOP	2025-09-18 00:00:00
443	736	2025-10-01 00:00:00	INCLUSAO	BEA.SC	2025-10-01 00:00:00
524	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
552	917	2025-09-05 00:00:00	INCLUSAO	BEA.SC	2025-09-05 00:00:00
622	8	2025-10-23 00:00:00	INCLUSAO	BEA.SC	2025-10-23 00:00:00
648	8	2025-10-31 00:00:00	INCLUSAO	BEA.SC	2025-10-31 00:00:00
648	8	2025-10-31 00:00:00	INCLUSAO	BEA.SC	2025-10-31 00:00:00
650	8	2025-10-29 00:00:00	INCLUSAO	BEA.SC	2025-10-29 00:00:00
667	501	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
672	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
673	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
674	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
700	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
701	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
704	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
705	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
708	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
717	463	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
722	501	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
723	501	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
724	501	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
725	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
726	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
746	999915	2025-11-21 00:00:00	INCLUSAO	TIAGOP	2025-11-21 00:00:00
788	379	2025-08-20 00:00:00	INCLUSAO	BEA.SC	2025-08-20 00:00:00
795	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
803	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
803	487	2025-11-12 00:00:00	INCLUSAO	BEA.SC	2025-11-12 00:00:00
810	100001	2025-12-03 00:00:00	INCLUSAO	BEA.SC	2025-12-03 00:00:00
820	8	2025-10-29 00:00:00	INCLUSAO	BEA.SC	2025-10-29 00:00:00
843	8	2025-08-21 00:00:00	INCLUSAO	TIAGOP	2025-08-21 00:00:00
843	8	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
850	100001	2025-12-02 00:00:00	INCLUSAO	BRUNO	2025-12-02 00:00:00
961	8	2025-12-01 00:00:00	INCLUSAO	BEA.SC	2025-12-01 00:00:00
962	8	2025-11-14 00:00:00	INCLUSAO	BEA.SC	2025-11-14 00:00:00
963	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
963	8	2025-10-15 00:00:00	INCLUSAO	BEA.SC	2025-10-15 00:00:00
964	8	2025-11-10 00:00:00	INCLUSAO	BEA.SC	2025-11-10 00:00:00
965	8	2025-11-04 00:00:00	INCLUSAO	BEA.SC	2025-11-04 00:00:00
977	999914	2025-11-21 00:00:00	INCLUSAO	BEA.SC	2025-11-21 00:00:00
981	8	2025-11-13 00:00:00	INCLUSAO	BEA.SC	2025-11-13 00:00:00
981	8	2025-11-13 00:00:00	INCLUSAO	BEA.SC	2025-11-13 00:00:00
983	8	2025-12-02 00:00:00	INCLUSAO	BEA.SC	2025-12-02 00:00:00
997	8	2025-10-16 00:00:00	INCLUSAO	BEA.SC	2025-10-16 00:00:00
997	8	2025-10-16 00:00:00	INCLUSAO	BEA.SC	2025-10-16 00:00:00
999	8	2025-10-20 00:00:00	INCLUSAO	BEA.SC	2025-10-20 00:00:00
