CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
========================================================================================================================
1	SEDE CIDASC	1	0
2	AGÊNCIA TUPY	487	0
3	SETOR VEICULO	487	0
4	RH SC	487	0
5	SUL	487	0
6	ITAJAI	487	0
7	SIDERÓPOLIS	487	0
8	ARARANGUA	487	0
9	JOACABA	487	0
10	SÃO MARTINHO	487	0
11	FLORIANOPOLIS	487	0
12	MARACAJÁ	487	0
13	LIMPEZA	530	1
14	KOBRASOL	487	1
15	MÓVEL	487	1
16	MF  LAGES	463	1
17	SESAI 1 - ARAQUARI	456	1
18	IÇARA	458	0
19	SESAI 2 - CHAPECÓ	457	1
20	CRICIUMA - SR SUL	487	1
21	SOMBRIO	487	1
22	CRICIUMA - AG OURO NEGRO	487	1
23	LAGES - AG CORAL	487	1
24	PERITIBA	487	0
25	PIRABEIRABA	487	1
26	CANOINHAS	487	1
27	LAGES	487	1
28	ERVAL VELHO	492	1
29	MAFRA	487	1
30	ARARANGUA	492	1
31	BRAÇO DO NORTE	492	1
32	IBICARE	492	0
33	RIO FORTUNA	492	1
34	PERITIBA	492	1
35	SÃO JOÃO DO SUL	492	1
36	GRÃO PARA	492	1
37	TIMBÉ DO SUL	492	1
38	RIO MAINA	492	1
39	OURO	492	0
40	TUBARÃO	487	1
41	SANTA ROSA DO SUL	492	1
42	VIDEIRA	492	0
43	CAÇADOR	492	1
44	CAÇADOR	492	0
45	JOAÇABA	492	1
46	IBICARE	492	1
47	TIMBO GRANDE	492	1
48	TUBARÃO	492	1
49	HU	445	1
50	VALE DO ITAJAI	463	0
51	CORUPÁ	492	0
52	LAGES	492	1
53	MARACAJÁ	492	1
54	TIMBÓ GRANDE	492	0
55	JOAÇABA	492	0
56	SIDERÓPOLIS	492	1
57	IMARUI	492	1
58	SANTA ROSA DE LIMA	492	1
59	MF CHAPECÓ	463	1
60	IBICARE	492	1
61	TIMBÓ GRANDE	492	1
62	CENTENÁRIO	492	1
63	CRICIUMA	487	1
64	AG VIDEIRA	492	1
65	AG GAROPABA	487	1
66	FLORIANÓPOLIS	463	1
67	BLUMENAU	463	1
68	FLORIANOPOLIS	85	1
69	PR FPOLIS	501	1
70	ESCRITORIO SC	8	1
71	MF CHAPECÓ	197	0
72	FILIAL	195	1
73	FILIAL	198	1
74	FILIAL	407	1
75	FILIAL	199	1
76	FILIAL	530	1
77	FILIAL	196	1
78	FILIAL	545	1
79	FILIAL	194	1
81	FILIAL	552	1
82	ESCRITORIO SC	137	1
83	ESCRITORIO	413	1
84	VALE DO ITAJAI	487	1
85	VALE ITAJAI	577	1
88	OESTE	577	1
89	NORTE	577	1
90	JARAGUA DO SUL - EQUIPE MÓVEL	487	1
91	PR - SC - SÃO MIGUEL D OESTE	501	1
92	CORUPÁ	487	1
93	MOVEL OESTE	487	1
94	JOINVILLE	463	1
95	LESTE	487	1
96	VALE DO ITAJAI	487	1
97	NORTE	487	1
98	OESTE	487	1
99	SUL	487	1
100	JOACABA	463	1
101	SESAI 2 - CHAPECÓ	463	0
102	SANTA ROSA DO SUL	613	0
103	BIGUAÇU	632	0
104	FLORIANOPOLIS SC 401 SACO GRANDE	632	1
105	CEL. AMERICO	613	0
106	FLORIANÓPOLIS RUA DELFINO LONTI, 306 UFSC TRINDADE	632	1
107	FLORIANÓPOLIS RUA BOCAIUVA, 2125 CENTRO	632	1
108	TIMBÉ DO SUL	463	0
109	FLORIANÓPOLIS RUA ARCIPRESTE PAIVA, 107 PFN CENTRO	463	1
110	MIRAMAR	463	0
111	FLORIANÓPOLIS RUA DOS ILHÉUS, 336 SPU CENTRO	463	1
112	DEPÓSITO JARDIM ATLANTICO - FLORIANÓPOLIS	100001	1
113	BRAÇO DO NORTE	632	0
114	BH	648	1
115	SÃO JOÃO DO SUL	100001	0
116	SANTA ROSA DE LIMA	650	0
117	RUA ESTEVES JUNIOR Nº 395 CENTRO FLORIANÓPOLIS	618	1
119	LAGUNA	613	0
120	PEDRAS GRANDES	530	0
121	AGRONÔMICA	571	0
122	FILIAL	570	1
123	MÓVEL	613	0
124	SETOR VEICULO	8	1
125	TIJUCAS	664	0
126	ACADEMIA DA PRF - SC - 401	673	1
127	INCRA RJ	667	1
128	MF RJ	144	1
129	MARCENARIA	672	1
130	RH SC	8	1
131	CAMBIRELA	<null>	0
132	GUARITA SEDE	8	1
133	SÃO JOÃO BATISTA	661	0
134	CAMPECHE	679	0
135	BB SC 5	632	1
136	BANCO DO BRASIL IRIRIU	632	1
137	AGÊNCIA TUPY	632	1
138	SEDE CIDASC	686	1
140	CETEM ES	656	0
141	BONFIM FÓRUM/JESP	610	0
142	CARMO DO CAJURU FÓRUM	610	0
143	CONTAGEM NOVO PRÉDIO	610	0
144	CONTAGEM ARQUIVO GEARQ(GEARQ/COPEQ)ARMAZÉNS 6-7 - CINCÃO	610	0
145	CONTAGEM ARQUIVO GEARQ(GEARQ/COVAD)ARMAZÉM 1 - CINCÃO	610	0
146	CONTAGEM ARQUIVO GEARQ(GEDOC/COARPE) ARMAZÉM 8 - CINCÃO	610	0
147	ENTRE-RIOS DE MINAS FÓRUM	610	0
148	ESMERALDAS FÓRUM	610	0
149	IGARAPÉ FÓRUM/JESP	610	0
150	ITAÚNA FÓRUM	610	0
151	ITAÚNA JESP	610	0
152	JUATUBA FÓRUM	610	0
153	MATOZINHOS FÓRUM/JESP	610	0
154	SABARÁ FÓRUM	610	0
155	SABARÁ JESP	610	0
156	SÃO DOMINGOS DO PRATA FÓRUM/JESP	610	0
157	PEDRO LEOPOLDO FÓRUM	610	0
158	CAETÉ FÓRUM	610	0
159	CAETÉ JESP	610	0
160	CARMO DA MATA FÓRUM	610	0
161	CARMÓPOLIS DE MINAS FÓRUM	610	0
162	CLÁUDIO FÓRUM	610	0
163	CONSELHEIRO LAFAIETE FÓRUM	610	0
164	DIVINÓPOLIS NOVO FÓRUM	610	0
165	FERROS FÓRUM	610	0
166	ITABIRA FÓRUM	610	0
167	ITABIRITO FÓRUM/JESP	610	0
168	ITAPECERICA NOVO FÓRUM	610	0
169	MARIANA NOVO FÓRUM	610	0
170	MATEUS LEME FÓRUM/ARQUIVO	610	0
171	MATEUS LEME JUIZADO	610	0
172	NOVA LIMA FÓRUM/ARQUIVO	610	0
173	NOVA LIMA FÓRUM ANTIGO	610	0
174	NOVA LIMA JESP	610	0
175	NOVA LIMA CEJUSC	610	0
176	NOVA SERRANA FÓRUM	610	0
177	OLIVEIRA FÓRUM	610	0
178	PARAOPEBA FÓRUM	610	0
179	PASSA-TEMPO FÓRUM	610	0
180	SANTA BÁRBARA FÓRUM/ARQUIVO	610	0
181	SANTO ANTÔNIO DO MONTE FÓRUM	610	0
182	SETE LAGOAS FORUM/ARQUIVOS	610	0
183	SETE LAGOAS JESP	610	0
184	VESPASIANO FÓRUM	610	0
185	VESPASIANO JUIZADO E ARQUIVO	610	0
186	BETIM FÓRUM CÍVEL/CRIMINAL/ARQUIVO	610	0
187	BETIM JUIZADO	610	0
188	BELO VALE FÓRUM	610	0
189	IBIRITÉ FÓRUM	610	0
190	IBIRITÉ JESP	610	0
191	IBIRITÉ ANEXO (1ª E 3ª VARAS)	610	0
192	JABOTICATUBAS FÓRUM/JESP/ARQUIVO	610	0
193	PARÁ DE MINAS FÓRUM/ARQUIVO	610	0
194	PARÁ DE MINAS JESP/CEJUSC	610	0
195	ALVINÓPOLIS FÓRUM	610	0
196	BARÃO DE COCAIS FÓRUM	610	0
197	BARÃO DE COCAIS FÓRUM ANTIGO	610	0
198	BRUMADINHO FÓRUM	610	0
199	BRUMADINHO CENTRAL DE PERÍCIAS MÉDICAS	610	0
200	CONGONHAS FÓRUM	610	0
201	CONGONHAS JUIZADO	610	0
202	ITAGUARA FÓRUM/JESP	610	0
203	JOÃO MONLEVADE FÓRUM/JESP	610	0
204	LAGOA SANTA FÓRUM/JESP	610	0
205	NOVA ERA FÓRUM	610	0
206	OURO BRANCO FÓRUM/JESP/ARQ	610	0
207	OURO PRETO FÓRUM/JESP	610	0
208	RIBEIRÃO DAS NEVES NOVO FÓRUM	610	0
209	RIO PIRACICABA FÓRUM/JESP	610	0
210	SANTA LUZIA FÓRUM	610	0
211	ABRE CAMPO FÓRUM	631	0
212	ALÉM PARAÍBA FÓRUM	631	0
213	ALTO RIO DOCE FÓRUM	631	0
214	BICAS FÓRUM	631	0
215	CARANDAÍ FÓRUM	631	0
216	LEOPOLDINA FÓRUM	631	0
217	LIMA DUARTE FÓRUM	631	0
218	MANHUMIRIM FÓRUM/AQUIVO	631	0
219	MATIAS BARBOSA FÓRUM	631	0
220	PIRAPETINGA FÓRUM	631	0
221	RIO NOVO FÓRUM	631	0
222	SENADOR FIRMINO FÓRUM	631	0
223	BARBACENA FÓRUM	631	0
224	BARBACENA JESP	631	0
225	TARUMIRIM FÓRUM	631	0
226	CARATINGA  FÓRUM	631	0
227	CATAGUASES FÓRUM	631	0
228	DIVINO FÓRUM	631	0
229	ERVÁLIA FÓRUM	631	0
230	ESPERA FELIZ FÓRUM	631	0
231	EUGENÓPOLIS FÓRUM	631	0
232	GUARANI FÓRUM	631	0
233	IPANEMA FÓRUM	631	0
234	IPATINGA FÓRUM	631	0
235	IPATINGA JESP	631	0
236	JUIZ DE FORA FÓRUM	631	0
237	LAJINHA FÓRUM	631	0
238	MANHUAÇU FÓRUM	631	0
239	MAR DA ESPANHA FORUM	631	0
240	MERCÊS FÓRUM	631	0
241	MESQUITA FÓRUM	631	0
242	MIRADOURO FÓRUM	631	0
243	MIRAÍ FÓRUM	631	0
244	MURIAÉ FÓRUM	631	0
245	PALMA FÓRUM	631	0
246	PIRANGA FÓRUM	631	0
247	PONTE NOVA FÓRUM	631	0
248	RAUL SOARES FÓRUM	631	0
249	RESENDE COSTA FÓRUM	631	0
250	RIO POMBA FÓRUM	631	0
251	SANTOS DUMONT FÓRUM	631	0
252	SANTOS DUMONT JESP	631	0
253	SÃO JOÃO NEPOMUCENO FÓRUM	631	0
254	TEIXEIRAS FÓRUM	631	0
255	TOMBOS FÓRUM	631	0
256	UBÁ FÓRUM	631	0
257	VIÇOSA FÓRUM	631	0
258	VISCONDE DO RIO BRANCO FÓRUM	631	0
259	PRADOS FÓRUM	631	0
260	RIO PRETO FÓRUM	631	0
261	AÇUCENA FÓRUM	631	0
262	BARROSO FÓRUM	631	0
263	ITANHOMI FÓRUM	631	0
264	CARANGOLA FÓRUM/ARQUIVO	631	0
265	CORONEL FABRICIANO  FÓRUM	631	0
266	INHAPIM FÓRUM	631	0
267	JEQUERI FÓRUM	631	0
268	MUTUM FÓRUM	631	0
269	RIO CASCA FÓRUM	631	0
270	SÃO JOÃO DEL-REI FÓRUM	631	0
271	TIMÓTEO FÓRUM	631	0
272	ABAETE	648	0
273	ABRE CAMPO	648	0
274	AGUAS FORMOSAS	648	0
275	AIMORES	648	0
276	AIURUOCA	648	0
277	ALEM PARAIBA	648	0
278	ALFENAS	648	0
279	ALMENARA	648	0
280	ALPINOPOLIS - SUSPENSÃO	648	0
281	ALVINOPOLIS	648	0
282	ANDRADAS	648	0
283	ANDRELANDIA  - SUSPENSO	648	0
284	ARACUAI	648	0
285	ARAGUARI	648	0
286	ARAXA	648	0
287	ARCOS	648	0
288	ARINOS	648	0
289	BAEPENDI - SUSPENSO	648	0
290	BARAO DE COCAIS	648	0
291	BARBACENA	648	0
292	BETIM	648	0
293	BICAS	648	0
294	BOA ESPERANCA	648	0
295	BOCAIUVA	648	0
296	BRASILIA DE MINAS	648	0
297	BRASOPOLIS - NÃO IMPANTADO	648	0
298	BRUMADINHO	648	0
299	BUENO BRANDAO (SUSPENSO)	648	0
300	BURITIS	648	0
301	CACHOEIRA DE MINAS	648	0
302	CAETE	648	0
303	CALDAS	648	0
304	CAMBUI	648	0
305	CAMPO BELO	648	0
306	CAMPOS ALTOS	648	0
307	CANAPOLIS	648	0
308	CONCEIÇÃO DO MATO DENTRO	648	0
309	CANDEIAS	648	0
