NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
1	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
2	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
3	EM USO		1			<null>		133838	100001	BEA.SC	03/12/2025	44136	467	N
4	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
5	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
6	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
7	EM USO		2053			11/12/2011	COMERCIAL - JULIO	133838	8	BEA.SC	14/11/2025	<null>	476	N
8	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
9	EM USO		2035			11/12/2011		133838	8	BEA.SC	16/10/2025	44136	250	N
10	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
11	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
12	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
14	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
15	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
16	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
17	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
18	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
19	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
20	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
21	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
22	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
23	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
24	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
25	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
26	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
