NUPATRIMONIO,DTAQUISICAO
1,2011-12-11
2,2011-12-11
3,2011-12-11
4,2011-12-11
5,2011-12-11
6,2011-12-11
7,2011-12-11
8,2011-12-11
9,2011-12-11
10,2011-12-11
11,2011-12-11
12,2011-12-11
14,2011-12-11
15,2011-12-11
16,2011-12-11
17,2011-12-11
18,2011-12-11
19,2011-12-11
20,2011-12-11
21,2011-12-11
22,2011-12-11
23,2011-12-11
24,2011-12-11
25,2011-12-11
26,2011-12-11
28,2011-12-11
29,2011-12-11
30,2011-12-11
31,2011-12-11
32,2011-12-11
33,2011-12-11
34,2011-12-11
35,2011-12-11
36,2011-12-11
37,2011-12-11
38,2011-12-11
39,2011-12-11
40,2011-12-11
41,2011-12-11
42,2011-12-11
43,2011-12-11
44,2011-12-11
45,2011-12-11
46,2011-12-11
47,2011-12-11
48,2011-12-11
49,2011-12-11
50,2011-12-11
51,2011-12-11
52,2011-12-11
53,2011-12-11
54,2011-12-11
55,2011-12-11
56,2011-12-11
57,2011-12-11
58,2011-12-11
59,2011-12-11
60,2011-12-11
61,2011-12-11
62,2011-12-11
63,2011-12-11
64,2011-12-11
65,2011-12-11
66,2011-12-11
67,2011-12-11
68,2011-12-11
69,2011-12-11
71,2011-12-11
72,2011-12-11
73,2011-12-11
74,2011-12-11
75,2011-12-11
76,2011-12-11
77,2011-12-11
78,2011-12-11
79,2011-12-11
80,2011-12-11
81,2011-12-11
82,2011-12-11
83,2011-12-11
84,2011-12-11
85,2011-12-11
86,2011-12-11
87,2011-12-11
88,2011-12-11
89,2011-12-11
90,2011-12-11
91,2011-12-11
92,2011-12-11
93,2011-12-11
94,2011-12-11
95,2011-12-11
96,2011-12-11
97,2011-12-11
98,2011-12-11
99,2011-12-11
100,2011-12-11
101,2011-12-11
102,2011-12-11
103,2011-12-11
104,2011-12-11
105,2011-12-11
106,2011-12-11
107,2011-12-11
108,2011-12-11
109,2011-12-11
110,2011-12-11
111,2011-12-11
112,2011-12-11
113,2011-12-11
114,2011-12-11
115,2011-12-11
116,2011-12-11
117,2011-12-11
118,2011-12-11
119,2011-12-11
120,2011-12-11
121,2011-12-11
122,2011-12-11
123,2011-12-11
124,2011-12-11
126,2011-12-11
127,2011-12-11
128,2011-12-11
130,2011-12-11
131,2011-12-11
132,2011-12-11
133,2011-12-11
134,2011-12-11
135,2011-12-11
136,2011-12-11
137,2011-12-11
138,2011-12-11
139,2011-12-11
140,2011-12-11
141,2011-12-11
142,2011-12-11
143,2011-12-11
144,2011-12-11
145,2011-12-11
146,2011-12-11
147,2011-12-11
148,2011-12-11
149,2011-12-11
150,2011-12-11
151,2011-12-11
152,2011-12-11
153,2011-12-11
154,2011-12-11
155,2011-12-11
156,2011-12-11
157,2011-12-11
158,2011-12-11
159,2011-12-11
160,2011-12-11
161,2011-12-11
162,2011-12-11
163,2011-12-11
164,2011-12-11
165,2011-12-11
166,2011-12-11
167,2011-12-11
168,2011-12-11
169,2011-12-11
170,2011-12-11
171,2011-12-11
172,2011-12-11
173,2011-12-11
174,2011-12-11
175,2011-12-11
176,2011-12-11
177,2011-12-11
178,2011-12-11
179,2011-12-11
180,2011-12-11
181,2011-12-11
182,2011-12-11
183,2011-12-11
184,2011-12-11
185,2011-12-11
186,2011-12-11
187,2011-12-11
188,2011-12-11
189,2011-12-11
190,2011-12-11
191,2011-12-11
192,2011-12-11
193,2011-12-11
194,2011-12-11
195,2011-12-11
196,2011-12-11
197,2011-12-11
198,2011-12-11
199,2011-12-11
200,2011-12-11
201,2011-12-11
202,2011-12-11
203,2011-12-11
204,2011-12-11
205,2011-12-11
206,2011-12-11
207,2011-12-11
208,2011-12-11
209,2011-12-11
210,2011-12-11
211,2011-12-11
212,2011-12-11
213,2011-12-11
214,2011-12-11
215,2011-12-11
216,2011-12-11
217,2011-12-11
218,2011-12-11
219,2011-12-11
220,2011-12-11
221,2011-12-11
222,2011-12-11
223,2011-12-11
224,2011-12-11
225,2011-12-11
226,2011-12-11
227,2011-12-11
228,2011-12-11
229,2011-12-11
230,2011-12-11
231,2011-12-11
232,2011-12-11
233,2011-12-11
